等級,日期和時間,來源,事件識別碼,工作類別
資訊,2025/6/26 下午 10:15:27,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:15:27,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:15:27,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
資訊,2025/6/26 下午 10:15:27,Microsoft-Windows-WindowsUpdateClient,44,Windows Update 代理程式,Windows Update 已開始下載更新。
警告,2025/6/26 下午 10:15:00,Microsoft-Windows-DistributedCOM,10016,無,"應用程式特定 權限設定無法將含有 CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 與 APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 之 COM 伺服器應用程式的 本機 啟用 權限授與來自位址 LocalHost (使用 LRPC) (在應用程式容器 無法使用 SID (無法使用) 中執行) 的使用者 DESKTOP-UE31B9Q\sobel SID (S-1-5-21-3066462119-231999793-920245347-1001)。您可以使用元件服務系統管理工具修改此安全性權限。"
資訊,2025/6/26 下午 10:14:59,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,已從 URL 群組 (0xFE00000420000007) 移除 URL (http://*:2869/upnp/eventing/)。處理常式標識0x3698可執行檔路徑 \Device\HarddiskVolume3\Windows\System32\svchost.exe，使用者 LOCAL SERVICE
資訊,2025/6/26 下午 10:14:59,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,已嘗試將 URL (http://*:2869/upnp/eventing/)新增至 URL 群組 (0xFE00000420000007)。狀態： 0x0。處理常式標識0x3698可執行檔路徑 \Device\HarddiskVolume3\Windows\System32\svchost.exe，使用者 LOCAL SERVICE
資訊,2025/6/26 下午 10:14:56,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,已從 URL 群組 (0xFE00000A20000002) 移除 URL (http://*:2869/upnp/eventing/)。處理常式標識0x3698可執行檔路徑 \Device\HarddiskVolume3\Windows\System32\svchost.exe，使用者 LOCAL SERVICE
資訊,2025/6/26 下午 10:14:56,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,已嘗試將 URL (http://*:2869/upnp/eventing/)新增至 URL 群組 (0xFE00000A20000002)。狀態： 0x0。處理常式標識0x3698可執行檔路徑 \Device\HarddiskVolume3\Windows\System32\svchost.exe，使用者 LOCAL SERVICE
資訊,2025/6/26 下午 10:14:47,Microsoft-Windows-HttpService,114,HTTP Configuration Property Trace Task,已從 URL 群組 (0xFE00000020000017) 移除 URL (http://*:2869/upnp/eventing/)。處理常式標識0x3698可執行檔路徑 \Device\HarddiskVolume3\Windows\System32\svchost.exe，使用者 LOCAL SERVICE
資訊,2025/6/26 下午 10:14:47,Microsoft-Windows-HttpService,113,HTTP Configuration Property Trace Task,已嘗試將 URL (http://*:2869/upnp/eventing/)新增至 URL 群組 (0xFE00000020000017)。狀態： 0x0。處理常式標識0x3698可執行檔路徑 \Device\HarddiskVolume3\Windows\System32\svchost.exe，使用者 LOCAL SERVICE
資訊,2025/6/26 下午 10:14:01,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\WINDOWS\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows\DeliveryOptimization\State\dosvcState.dat 中的存取歷程記錄，更新了 4 個機碼並建立了 1 個修改的頁面。
資訊,2025/6/26 下午 10:13:56,Service Control Manager,7040,無,Background Intelligent Transfer Service 服務的啟動類型已從 指定啟動 變更為 自動啟動。
警告,2025/6/26 下午 10:12:38,Microsoft-Windows-DistributedCOM,10016,無,"應用程式特定 權限設定無法將含有 CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 與 APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 之 COM 伺服器應用程式的 本機 啟用 權限授與來自位址 LocalHost (使用 LRPC) (在應用程式容器 無法使用 SID (無法使用) 中執行) 的使用者 DESKTOP-UE31B9Q\sobel SID (S-1-5-21-3066462119-231999793-920245347-1001)。您可以使用元件服務系統管理工具修改此安全性權限。"
警告,2025/6/26 下午 10:12:35,Microsoft-Windows-DistributedCOM,10016,無,"應用程式特定 權限設定無法將含有 CLSID 
{2593F8B9-4EAF-457C-B68A-50F6B8EA6B54}
 與 APPID 
{15C20B67-12E7-4BB6-92BB-7AFF07997402}
 之 COM 伺服器應用程式的 本機 啟用 權限授與來自位址 LocalHost (使用 LRPC) (在應用程式容器 無法使用 SID (無法使用) 中執行) 的使用者 DESKTOP-UE31B9Q\sobel SID (S-1-5-21-3066462119-231999793-920245347-1001)。您可以使用元件服務系統管理工具修改此安全性權限。"
資訊,2025/6/26 下午 10:10:59,Service Control Manager,7040,無,Background Intelligent Transfer Service 服務的啟動類型已從 自動啟動 變更為 指定啟動。
資訊,2025/6/26 下午 10:10:52,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Packages\Microsoft.WindowsStore_8wekyb3d8bbwe\Settings\settings.dat 中的存取歷程記錄，更新了 16 個機碼並建立了 3 個修改的頁面。
資訊,2025/6/26 下午 10:10:52,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Packages\microsoft.windowscommunicationsapps_8wekyb3d8bbwe\Settings\settings.dat 中的存取歷程記錄，更新了 27 個機碼並建立了 4 個修改的頁面。
資訊,2025/6/26 下午 10:10:24,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Packages\B9ECED6F.ArmouryCrate_qmba6cd70vzyy\Settings\settings.dat 中的存取歷程記錄，更新了 32 個機碼並建立了 4 個修改的頁面。
資訊,2025/6/26 下午 10:10:19,Microsoft-Windows-Kernel-General,16,無,已清除登錄區 \??\C:\Users\sobel\AppData\Local\Packages\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\Settings\settings.dat 中的存取歷程記錄，更新了 337 個機碼並建立了 31 個修改的頁面。
